label,y,count,percent
BANK,19,22,4.01
BROTHER,9,21,3.83
GOOD_MORNING,1,21,3.83
HELLO,0,21,3.83
HOUSE,13,21,3.83
I,4,21,3.83
MARKET,16,21,3.83
WE,6,21,3.83
YOU,5,21,3.83
FATHER,8,20,3.65
FRIEND,11,20,3.65
GOOD_NIGHT,2,20,3.65
HOSPITAL,15,20,3.65
MOTHER,7,20,3.65
OFFICE,18,20,3.65
RESTAURANT,17,20,3.65
SCHOOL,14,20,3.65
SISTER,10,20,3.65
THANK_YOU,3,20,3.65
FAMILY,12,17,3.10
TIME,23,15,2.74
BATHROOM,29,14,2.55
BOOK,27,14,2.55
DOCTOR,24,14,2.55
MEDICINE,25,14,2.55
MONEY,26,14,2.55
TELEPHONE,28,14,2.55
TODAY,20,14,2.55
TOMORROW,21,14,2.55
YESTERDAY,22,14,2.55
